CALLE;NUMERO;M2;DOLARES;U_S_M2;AMBIENTES;ANTIGUEDAD;ORIENT;BAULERA;COCHERA;BA�OS;LAVADERO;TERRAZA;BARRIO;COMUNA;LAT;LON
11 DE SEPTIEMBRE DE 1888;882;105;173000;1647.6;;A ESTRENAR;;;SI;2;;BALCON TERRAZA;PALERMO;14;-58.440.245.877.105.100;-34.569.951.170.512.800
11 DE SEPTIEMBRE DE 1888;1050;180;169000;938.9;;;;;SI;2;;PATIO;PALERMO;14;-58.442.480.604.080.100;-34.568.204.989.022.900
11 DE SEPTIEMBRE DE 1888;1144;165;185000;1121.2;;;;;SI;2;;BALCON;PALERMO;14;-58.443.303.057.162.800;-34.567.568.549.665.800
11 DE SEPTIEMBRE DE 1888;1846;202;198000;980.2;;;;;SI;2;;;BELGRANO;13;-58.449.032.876.981.700;-34.561.004.499.000.400
11 DE SEPTIEMBRE DE 1888;2130;63;50000;793.7;;;;;;0;;PATIO;BELGRANO;13;-58.451.616.541.855.000;-3.455.802.271.416.700
11 DE SEPTIEMBRE DE 1888;2130;94;79000;840.4;;;;;;2;;;BELGRANO;13;-58.451.616.541.855.000;-3.455.802.271.416.700
11 DE SEPTIEMBRE DE 1888;2140;45;44000;977.8;;;;;;0;;;BELGRANO;13;-58.451.534.339.718.500;-34.558.117.233.074.200
11 DE SEPTIEMBRE DE 1888;2140;44;49000;1113.6;;;;;;0;;;BELGRANO;13;-58.451.534.339.718.500;-34.558.117.233.074.200
11 DE SEPTIEMBRE DE 1888;2140;44;55000;1250.0;;;;;SI;0;;BALCON;BELGRANO;13;-58.451.534.339.718.500;-34.558.117.233.074.200
11 DE SEPTIEMBRE DE 1888;2140;28;31000;1107.1;;;;;;0;;;BELGRANO;13;-58.451.534.339.718.500;-34.558.117.233.074.200
11 DE SEPTIEMBRE DE 1888;2140;63;57000;904.8;;;;;SI;0;;PATIO;BELGRANO;13;-58.451.534.339.718.500;-34.558.117.233.074.200
11 DE SEPTIEMBRE DE 1888;2145;136;158000;1161.8;;8;;;SI;2;;;BELGRANO;13;-584.517.503.567.875;-34.558.331.889.565.700
11 DE SEPTIEMBRE DE 1888;2163;75;85000;1133.3;;;;SI;;0;;BALCON TERRAZA;BELGRANO;13;-58.451.602.392.541.900;-34.558.502.023.700.500
11 DE SEPTIEMBRE DE 1888;2173;89;67500;758.4;;;;;;0;;;BELGRANO;13;-58.451.520.189.871.700;-34.558.596.542.643.600
11 DE SEPTIEMBRE DE 1888;2290;43;46000;1069.8;;;;;;0;SI;;BELGRANO;13;-58.451.965.486.660.500;-34.557.621.491.761.600
11 DE SEPTIEMBRE DE 1888;2430;94;96500;1026.6;;;;;;2;;BALCON TERRAZA;BELGRANO;13;-58.453.537.476.761.200;-34.555.603.481.917.800
11 DE SEPTIEMBRE DE 1888;2633;100;72000;720.0;;2;;;;0;;TERRAZA;BELGRANO;13;-58.455.664.691.173.300;-34.553.592.849.274.500
11 DE SEPTIEMBRE DE 1888;2633;100;72000;720.0;;2;;;;0;;TERRAZA;BELGRANO;13;-58.455.664.691.173.300;-34.553.592.849.274.500
11 DE SEPTIEMBRE DE 1888;2871;107;81000;757.0;;;;;;2;;PATIO;NUÑEZ;13;-58.456.868.628.275.800;-34.552.069.363.031.500
